Date,Price,Open,High,Low,Vol,Change
2014-05-28,102.72,104.14,104.39,102.64,239.13K,-1.34%
2014-05-27,104.11,104.34,104.5,103.57,174.39K,-0.16%
2014-05-26,104.28,104.2,104.38,103.93,-,-0.07%
2014-05-23,104.35,103.71,104.5,103.64,160.56K,0.59%
2014-05-22,103.74,103.85,104.22,103.55,159.18K,-0.32%
2014-05-21,104.07,102.96,104.29,102.78,272.13K,1.59%
2014-05-20,102.44,102.6,102.86,102.1,48.32K,-0.17%
2014-05-19,102.61,102.13,103.09,101.97,121.11K,0.58%
2014-05-16,102.02,101.56,102.23,101.39,147.90K,0.51%
2014-05-15,101.5,102.03,102.26,101.27,276.06K,-0.85%
2014-05-14,102.37,101.91,102.65,101.83,234.48K,0.66%
2014-05-13,101.7,100.63,102.05,100.36,253.59K,1.10%
2014-05-12,100.59,100.12,100.93,99.93,211.65K,0.60%
2014-05-09,99.99,100.27,101.18,99.71,271.34K,-0.27%
2014-05-08,100.26,100.82,100.93,99.87,252.61K,-0.51%
2014-05-07,100.77,99.83,100.99,99.78,291.27K,1.28%
2014-05-06,99.5,99.38,100.42,99.32,251.21K,0.02%
2014-05-05,99.48,99.96,100.44,98.91,190.00K,-0.28%
2014-05-02,99.76,99.17,100.14,99.17,213.63K,0.34%
2014-05-01,99.42,99.72,99.89,98.74,235.46K,-0.32%
2014-04-30,99.74,100.76,100.76,99.35,282.98K,-1.52%
2014-04-29,101.28,100.89,102.2,100.71,218.69K,0.44%
2014-04-28,100.84,100.49,101.52,100.33,231.59K,0.24%
2014-04-25,100.6,101.93,102.05,100.48,221.60K,-1.31%
2014-04-24,101.94,101.54,102.35,101.4,202.28K,0.49%
